存货编码,一级类别,二级类别,存货名称,英文名,规格型号,存货代码,存货大类编码,存货大类名称,主计量单位名称,默认仓库名称
1021530,零配件,,全螺纹六角头螺栓,"SCREW, M5 × 30",M5×30 GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021535,零配件,,全螺纹六角头螺栓,"SCREW, M5 × 35",M5×35(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021545,零配件,,全螺纹六角头螺栓,"Screw, RHM, M5X45, SST",M5×45(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,
1021610,零配件,,六角头螺栓,"BOLT, HEX HEAD, M6×10",M6X10 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021616,零配件,,六角头螺栓,HEX BOLT M6 X 16,M6×16(GB/T5783-2000)304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021620,零配件,,六角头螺栓,"HEX HEAD BOLT, M6 ×20",M6X20 不锈钢 GB/T5783,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021625,零配件,,六角头螺栓,"Screw,M6X25, SST",M6×25(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021630,零配件,,六角头螺栓,"HEX HEAD BOLT  M6×30,SS",M6×30(GB/T 5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021635,零配件,,全螺纹六角头螺栓,,M6×35(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021640,零配件,,全螺纹六角头螺栓,"SCREW, SST, M6x40",M6×40(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021645,零配件,,六角头螺栓,"HEX HEAD SCREW M6×45, SS","M6×45(GB/T5782-2000),螺纹长度18mm,附图,304不锈钢",,MC10,六角头螺栓、螺柱类,个,原材料仓
1021650,零配件,,六角头螺栓,HEX HEAD BOLT,M6×50(GB/T 5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021816,零配件,,六角头螺栓,HEX BOLT  M8×16,M8×16 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021820,零配件,,全螺纹六角头螺栓,HEX BOLT M8×20,M8×20(GB/T5783-2000) 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021825,零配件,,外六角螺丝,"Bolt, Hex Head, M8x25","M8×25(GB/T5783-2000)  304不锈钢,",,MC10,六角头螺栓、螺柱类,个,原材料仓
1021830,零配件,,六角头螺栓,HEX BOLT M8×30,M8×30 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021835,零配件,,六角头螺栓,HEX BOLT M8×35,M8×35 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021840,零配件,,六角头螺栓,HEX BOLT M8×40,"M8X40,不锈钢 GB/T5783-2000",,MC10,六角头螺栓、螺柱类,个,原材料仓
1021855,零配件,,六角头螺栓,SCREW  M8X55,M8×55 GB/T5782-2000  不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021860,零配件,,六角头螺栓,HEX BOLT M8×60,M8×60 GB/T5783-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1021870,零配件,,不锈钢外六角螺丝,"Screw, RHM, M8X70, SST",M8X70(GB/T5783-2000 304)不锈钢,,MC10,六角头螺栓、螺柱类,个,
1022020,零配件,,六角法兰面带齿螺栓,,M10X20，不锈钢，法兰面带齿防滑，GB/T5789,,MC10,六角头螺栓、螺柱类,个,
1022065,零配件,,六角头螺栓,"Screw, RHM, M10X65, SST",不锈钢M10X65 GB/T5782-2000，有效螺纹长26mm,,MC10,六角头螺栓、螺柱类,个,
1022090,零配件,,六角头螺栓,HEX BOLT M10 × 90,不锈钢M10X100 GB/T5782-2000，有效螺纹长25mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022600,零配件,,六角头螺栓,"BOLT, HEX HEAD, M6×100",M6×100，不锈钢，GB/T5782-2000，螺纹长20mm,,MC10,六角头螺栓、螺柱类,个,
1022640,零配件,,六角头螺栓,HEX HEAD BOLT,M6×40 GB/T5782-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022655,零配件,,六角头螺栓,HEX HEAD BOLT,M6×55 GB/T5782-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022800,零配件,,六角头螺栓,HEX BOLT M8 X 100,不锈钢M8X100 GB/T5782-2000，有效螺纹长40mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022811,零配件,,六角头螺栓,HEX BOLT M8 X 110,不锈钢M8X110 GB/T5782-2000，有效螺纹长40mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022818,零配件,,六角头螺栓,HEX HEAD BOLT M8×180,不锈钢M8X180 GB/T5782-2000，有效螺纹大于20mm,,MC10,六角头螺栓、螺柱类,个,
1022845,零配件,,六角头螺栓,HEX BOLT M8×45,M8×45 GB/T5782-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022860,零配件,,六角头螺栓,HEX BOLT M8 ×60,M8×60 GB/T5782-2000 304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1022880,零配件,,外六角螺栓,"Screw, M8x80mm HH",M8X80 GB/T5782-2000，8.8级镀锌（或不锈钢）,,MC10,六角头螺栓、螺柱类,个,
1022881,零配件,,外六角螺栓,,M8X80 GB/T5783-2000，不锈钢,,MC10,六角头螺栓、螺柱类,个,
1022885,零配件,,六角头螺栓,"HEX HEAD BOLT, M8×85",M8×85(GB/T5782-2000)，304不锈钢，螺纹长度大于20mm,,MC10,六角头螺栓、螺柱类,个,
1022890,零配件,,六角头螺栓（吸力泵固定螺栓）,"SCREW, BOLT, M8  x  90",M8×90(GB/T 5784-86) 304不锈钢有效螺纹长40MM,,MC10,六角头螺栓、螺柱类,个,原材料仓
1023010,零配件,,六角头螺栓,"HEX BOLT 3/8-16 ×1"" UNC","3/8-16×1"" UNC 304不锈钢",,MC10,六角头螺栓、螺柱类,个,原材料仓
1023512,零配件,,六角头螺栓,"HEX HEAD BOLT, M5X12, BRASS",黄铜，M5X12 GB/T5783,,MC10,六角头螺栓、螺柱类,个,
1023612,零配件,,六角铜螺栓,,黄铜，M6X12 GB/T5783,,MC10,六角头螺栓、螺柱类,个,
1023805,零配件,,六角头螺栓,"SCREW  5/16""-18×1/2"" HEX, STN STL",5/16″×1/2″304不锈钢,,MC10,六角头螺栓、螺柱类,个,原材料仓
1023806,零配件,,外六角水开关固定螺丝,"SCREW, 5/16-18x5/8""L, HH","5/16×5/8""304不锈钢",,MC10,六角头螺栓、螺柱类,个,原材料仓
1023810,零配件,,六角头螺栓,"HEX HEAD BOLT 5/16×1"",SS","5/16-18×1"" UNC 304不锈钢",,MC10,六角头螺栓、螺柱类,个,原材料仓
1023815,零配件,,六角头螺栓,"HEX BOLT 5/16-18 ×1.5"" UNC","不锈钢,5/16-18x1.5""(38mm) UNC",,MC10,六角头螺栓、螺柱类,个,原材料仓
1024532,零配件,,外六角螺丝,"Screw, Hex Hd 10-32×1.25″",10-32×1.25″不锈钢,RD20390,MC10,六角头螺栓、螺柱类,个,原材料仓
1024615,零配件,,六角头螺栓,"SCREW - 1/4-20x1 1/2"" HHC","1/4-20×1 1/2"" 304不锈钢(牙长22mm粗杆)",,MC10,六角头螺栓、螺柱类,个,原材料仓
1031032,零配件,,六角头螺栓,SCREW M10x32 HEX,M10×32 GB/T5782-2000  发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031212,零配件,,六角头螺栓,"BOLT, HEX HEAD, M12×120",不锈钢M12×120，GB/T5782-2000，螺纹长20mm,,MC10,六角头螺栓、螺柱类,个,
1031820,零配件,,六角头螺栓,HEX HEAD BOLT,M8×20 GB/T5782-2000  发黑加硬 螺纹长10mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031825,零配件,,六角头螺栓,HEX HEAD BOLT,M8×25 GB/T5782-2000  发黑加硬 螺纹长10mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031830,零配件,,外六角螺丝,SCREW M8x30 HEX,M8×30(GB/T5783-2000)（发黑+硬）,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031840,零配件,,六角头螺栓,HEX HEAD BOLT,M8×40 GB/T5782-2000  发黑加硬 螺纹长10mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031845,零配件,,六角头螺栓,SCREW M8x45 HEX,M8×45 GB/T5783-2000 发黑加硬 螺纹长10mm,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031855,零配件,,六角头螺栓,HEX HEAD BOLT,M8×55 GB/T5782-2000  发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031860,零配件,,六角头螺栓,SCREW  M8X60,M8×60 GB/T5782-2000 发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1031865,零配件,,六角头螺栓,HEX HEAD BOLT,M8×65 GB/T5782-2000  发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1032090,零配件,,六角头螺栓,"BOLT, HEX HEAD, M10×90","不锈钢M10×90，GB/T5782-2000,螺纹长20mm",,MC10,六角头螺栓、螺柱类,个,
1032200,零配件,,六角头螺栓（对边距18mm）,SCREW M12X100,M12×100  GB/T5782-2000 半螺纹 发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1032290,零配件,,六角头螺栓,HEX HEAD BOLT,M12×90  GB/T5782-2000 半螺纹 发黑加硬,,MC10,六角头螺栓、螺柱类,个,原材料仓
1111008,零配件,,六角螺母,NUT M10,M10（GB/T6170-2000）镀锌,,MC11,螺母类,个,原材料仓
1111215,零配件,,六角螺母,"HEX NUT, M16","M16(参照GB/T6170-2000)镀锌,厚度不超过11mm",,MC11,螺母类,个,原材料仓
1111302,零配件,,六角螺母,"NUT, M3",M3×2.4(GB/T6170-2000) 镀镍,,MC11,螺母类,个,原材料仓
1111403,零配件,,六角螺母,"NUT, M4",M4 GB/T6170-2000 镀锌,,MC11,螺母类,个,原材料仓
1111505,零配件,,六角螺母,,M5 GB/T6170-2000 镀锌,,MC11,螺母类,个,原材料仓
1111605,零配件,,六角螺母,HEX NUT M6,M6 GB/T6170-2000 镀锌,,MC11,螺母类,个,原材料仓
1111807,零配件,,六角螺母,"NUT, M8",M8 GB/T6170-2000 镀锌,,MC11,螺母类,个,原材料仓
1112008,零配件,,六角螺母,,(M10X1) GB/T6171-2000 镀锌,,MC11,螺母类,个,原材料仓
1112207,零配件,,细牙六角薄螺母,"NUT,M14X1.5",M14X1.5(GB/T6173-2000)镀锌,,MC11,螺母类,个,原材料仓
1113012,零配件,,六角防松螺母,SELFLOCKING NUT M10,M10(GB/T889.1-2000)镀蓝锌,,MC11,螺母类,个,原材料仓
1113014,零配件,,防松螺母,"LOCK NUT, M14",M14，镀兰锌，GB/T889.1,,MC11,螺母类,个,
1113304,零配件,,齿形螺母,"Kep nuts, M4",M4(GB/T6170-2000)镀蓝锌,,MC11,螺母类,个,原材料仓
1113305,零配件,,防松螺母,SELF-LOCKING NUTS M3,M3×4.5(GB/T889.1-2000)镀蓝锌,,MC11,螺母类,个,原材料仓
1113507,零配件,,六角防松螺母,"NUT,LOCK,M5",M5(GB/T889.1-2000)(镀蓝锌),,MC11,螺母类,个,原材料仓
1113608,零配件,,六角防松螺母,NUT LOCK M6,M6 GB/T889.1-2000）镀锌,,MC11,螺母类,个,原材料仓
1113810,零配件,,六角防松螺母,"NUT,LOCK,M8",M8(GB/T889.1-2000)镀镍,,MC11,螺母类,个,原材料仓
1115507,零配件,,六角螺母,Hex Nut 10-32UNF,"10-32 UNF S=8mm,镀锌",RD20371,MC11,螺母类,个,原材料仓
1115807,零配件,,六角螺母,"NUT - 5/16-24, HH, STL, ZINC PLD",5/16-24(铁发黑) 6.5-6.8厚,,MC11,螺母类,个,原材料仓
1118606,零配件,,六角法兰螺母M6,,M6，镀锌，GB/T6711.1，绿标编号N112606,,MC11,螺母类,个,
1118608,零配件,,皇冠螺母,Nut 1/4-20,"1/4-20,镀锌",RD20859,MC11,螺母类,个,原材料仓
1121005,零配件,,六角薄螺母,"NUT,M10",M10 GB/T6172.1-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1121008,零配件,,六角螺母,HEX NUT M10,"M10 GB/T6170-2000 不锈钢, 对边距17",,MC11,螺母类,个,原材料仓
1121403,零配件,,六角螺母,"NUT, SST M4",M4(GB/T6170-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1121505,零配件,,六角螺母,"NUT,  M5 SST",M5(GB/T6170-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1121605,零配件,,六角螺母,HEX NUT M6,M6(GB/T6170-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1121804,零配件,,六角薄螺母,"NUT,M8",M8 GB/T6172.1-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1121807,零配件,,六角螺母,HEX NUT M8,M8(GB/T6170-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1121913,零配件,,六角螺母,HEX NUT M14,M14 GB/T6170-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1123008,零配件,,防松螺母,LOCK NUT 3/8,不锈钢3/8,,MC11,螺母类,个,原材料仓
1123012,零配件,,六角防松螺母,"LOCK NUT, M10",M10 GB/T889.1-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1123020,零配件,,六角防松螺母,"Nut,Lock,SS,M20",M20 GB/T889.1-2000 304不锈钢,,MC11,螺母类,个,
1123111,零配件,,六角防松螺母,"LOCK NUT 7/16""-20UNF SST","7/16""-20UNF 304不锈钢",,MC11,螺母类,个,原材料仓
1123115,零配件,,六角防松螺母,"NUT,LOCK,M12",M12 GB/T889.1-2000 304不锈钢，对边距19mm，高12mm,,MC11,螺母类,个,原材料仓
1123305,零配件,,六角防松螺母,LOCK NUT M3,M3 GB/T889.1-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1123406,零配件,,六角防松螺母,"NUT,LOCK,M4",M4 GB/T889.1-2000  304不锈钢,,MC11,螺母类,个,原材料仓
1123407,零配件,,六角法兰防松螺母,"Nylock, Flanged M4 Nut",M4 GB/T6183.1-2000，不锈钢,,MC11,螺母类,个,
1123507,零配件,,六角防松螺母,LOCK NUT M5,M5(GB/T889.1-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1123608,零配件,,六角防松螺母,LOCK NUT M6,M6(GB/T889.1-2000) 304不锈钢,,MC11,螺母类,个,原材料仓
1123808,零配件,,全金属六角锁紧螺母,,镀蓝锌，8级以上，DIN980V,,MC11,螺母类,个,
1123810,零配件,,六角防松螺母,LOCK NUT M8,M8 GB/T889.1-2000 304不锈钢,,MC11,螺母类,个,原材料仓
1124018,零配件,,盖形螺母,"NUT, M8, CAP, HEX, LOW ACRON",M10(GB/T923-1988) 镀镍,,MC11,螺母类,个,原材料仓
1124111,零配件,,盖形螺母,"NUT, CAP, LOW ACORN, 7/16""-20UNF","7/16""-20UNF 304不锈钢",,MC11,螺母类,个,原材料仓
1124509,零配件,,盖形螺母,"NUT, CAP, LOW ACORN, M5",M5 GB/T923 304不锈钢,,MC11,螺母类,个,原材料仓
1124815,零配件,,盖形螺母,"NUT, M8, CAP, HEX, LOW ACRON",M8(GB/T923-1988) 304不锈钢,,MC11,螺母类,个,原材料仓
1125008,零配件,,六角螺母,"NUT 3/8"" SST","3/8""304不锈钢",,MC11,螺母类,个,原材料仓
1125432,零配件,,六角螺母,"NUT, SST 5/32-33G","32G  5/32"" 304不锈钢 附图",,MC11,螺母类,个,原材料仓
1125608,零配件,,六角螺母,"NUT - HEX, 1/4-20",1/4-20 304不锈钢,,MC11,螺母类,个,原材料仓
1126305,零配件,,防松螺母,Lock Nut 6-32,"6-32,不锈钢304",GT13103,MC11,螺母类,个,原材料仓
1126405,零配件,,齿形螺母,,8-32 304不锈钢,,MC11,螺母类,个,原材料仓
1126406,零配件,,防松螺母,"Lock Nut, 8-32",8-32 304不锈钢,,MC11,螺母类,个,原材料仓
1126506,零配件,,防松螺母,,"3/16""-24 304不锈钢",,MC11,螺母类,个,原材料仓
1126507,零配件,,防松螺母(铝座),Lock Nut 10-32,10-32 304不锈钢,,MC11,螺母类,个,原材料仓
1126508,零配件,,304齿型螺母,"Nut , keps 10-32",10-32 UNF 不锈钢(附图纸）,RD20249,MC11,螺母类,个,原材料仓
1126509,零配件,,齿形螺母,NUT - KEP 10-24. STL,10-24 304不锈钢,,MC11,螺母类,个,原材料仓
1126608,零配件,,防松螺母,"Lock Nut, 1/4-20",1/4-20厚7.7mm 对边宽10.7mm 304不锈钢,,MC11,螺母类,个,原材料仓
1126807,零配件,,防松螺母,"NUT - 5/16-18, ELAS STOP, STL",5/16″-18 304不锈钢,,MC11,螺母类,个,原材料仓
1127126,零配件,,蝶形螺母,"NUT, WING, M12",M12 304不锈钢,,MC11,螺母类,个,原材料仓
1141512,零配件,,嵌镶六角螺母,,M5×12 H59 附图,,MC11,螺母类,个,原材料仓
1141610,零配件,,六方注塑螺母,,"M6X10,H59或H62,GB/T809-1988, A型",,MC11,螺母类,个,
1141615,零配件,,嵌镶六角螺母,,M6×15 H59 附图,,MC11,螺母类,个,原材料仓
1142305,零配件,,嵌镶圆螺母,,M3×5 (GB/T809-1988)  H59,,MC11,螺母类,个,原材料仓
1142406,零配件,,嵌镶圆螺母,,M4×6 (GB/T809-1988) H59,,MC11,螺母类,个,原材料仓
1142816,零配件,,嵌镶圆螺母,,M8×16（GB/T 809-1988) H62,,MC11,螺母类,个,原材料仓
1143032,零配件,,六方滚塑螺母,,M10×27 附图,,MC11,螺母类,个,原材料仓
1143120,零配件,,滚塑螺母,,G3/8，H59/H62,,MC11,螺母类,个,原材料仓
1143121,零配件,,六角滚塑丝母,,G1/2，H59/H62,,MC11,螺母类,个,原材料仓
1143310,零配件,,六方滚塑丝母,,M3×8 附图,,MC11,螺母类,个,原材料仓
1143315,零配件,,六方螺母,NUT M3x15,M3×15 附图,,MC11,螺母类,个,原材料仓
1143412,零配件,,六方滚塑丝母,,M4×9.5 附图,,MC11,螺母类,个,原材料仓
1143505,零配件,,六角铜螺母,"HEX NUT,BRASS",黄铜，M5 GB/T617,,MC11,螺母类,个,
1143514,零配件,,滚塑螺母,,M5×14 H59,,MC11,螺母类,个,原材料仓
1143605,零配件,,六角铜螺母,,黄铜，M6 GB/T6170,,MC11,螺母类,个,
1143618,零配件,,六方滚塑螺母,,M6×15 附图,,MC11,螺母类,个,原材料仓
1143619,零配件,,四方滚塑螺母,,M6×18 附图,,MC11,螺母类,个,原材料仓
1143822,零配件,,滚塑螺母,,M8×22 H59,,MC11,螺母类,个,原材料仓
1143823,零配件,,四方滚塑螺母,,M8×22 附图,,MC11,螺母类,个,原材料仓
1210409,零配件,,铜螺钉,,M4×9,,MC12,普通螺钉类,个,原材料仓
1211306,零配件,,十字盘头螺丝,,M3x6，镀蓝锌，绿标编号N123306,,MC12,普通螺钉类,个,
1211316,零配件,,十字槽盘头螺钉,"SCREW, M3x16 PH",M3×16(GB/T818-2000) 表面镀镍,,MC12,普通螺钉类,个,原材料仓
1211320,零配件,,十字槽盘头螺钉,"SCREW, PAN HEAD, M3×20",M3×20 GB/T818-2000 镀锌,,MC12,普通螺钉类,个,原材料仓
1211325,零配件,,十字槽盘头螺钉,"SCREW,M3X25",M3×25 GB/T818-2000 镀锌,,MC12,普通螺钉类,个,原材料仓
1211330,零配件,,十字槽盘头螺钉,"SCREW, PAN HEAD, M3×30",M3×30(GB/T818-2000) 镀锌,,MC12,普通螺钉类,个,原材料仓
1211335,零配件,,十字槽盘头螺钉,,M3×35(GB/T818-2000) 镀锌,,MC12,普通螺钉类,个,
1211406,零配件,,十字盘头螺钉,,M4X16镀锌，绿标编号N124006,,MC12,普通螺钉类,个,
1211408,零配件,,十字槽盘头螺钉,"SCREW,M4X8",M4×8 GB/T818-2000  镀锌,,MC12,普通螺钉类,个,原材料仓
1211410,零配件,,十字槽盘头螺钉,,M4×10 GB/T818-2000 镀锌,,MC12,普通螺钉类,个,原材料仓
1211414,零配件,,十字槽盘头螺钉,"SCREW,M4X14",M4×14（GB/T818-2000) 镀锌,,MC12,普通螺钉类,个,原材料仓
1211435,零配件,,十字槽盘头螺钉,"SCREW,M4 X 35 ,PH",M4×35 (GB/T818-2000)镀锌,,MC12,普通螺钉类,个,原材料仓
1211508,零配件,,十字槽盘头螺钉,,M5×8(GB/T818-2000) 镀锌,,MC12,普通螺钉类,个,原材料仓
1211512,零配件,,十字槽盘头螺钉,"SCREW,M5X12",M5×12 GB/T818-2000  镀锌,,MC12,普通螺钉类,个,原材料仓
1211516,零配件,,十字槽盘头螺钉,PAN HEAD SCREW M5×16,M5×16(GB/T818-2000) 镀锌,,MC12,普通螺钉类,个,原材料仓
1211520,零配件,,十字槽盘头螺钉,PAN HEAD SCREW M5×20,M5×20(GB/T818-2000) 镀兰锌，绿标编号为N125020,,MC12,普通螺钉类,个,
1211540,零配件,,十字槽盘头螺钉,,M5×40(GB/T818-2000)表面镀镍,,MC12,普通螺钉类,个,原材料仓
1212410,零配件,,十字槽沉头螺钉,SCREW M4 X 10,M4×10(GB/T819.1-2000) 镀锌,,MC12,普通螺钉类,个,原材料仓
1214405,零配件,,十字沉头螺钉,"Screw, Fh, (8#*8)5/32""-32*8","(8#×8)5/32""-32x8 镀蓝锌,美制 附图",,MC12,普通螺钉类,个,原材料仓
1221306,零配件,,十字槽盘头螺钉,SCREW M3×6,M3×6 GB/T818-2000 304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221310,零配件,,十字槽盘头螺钉,"SCREW, HEX HEAD, M3×10",M3×10(GB/T818-2000)304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221312,零配件,,十字槽盘头螺钉,"SCREW, HEX HEAD, M3×12",M3×12(GB/T818-2000)304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221314,零配件,,十字槽盘头螺钉,"Screw, Ph, M3 X14",M3×14(GB/T818-2000)304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221325,零配件,,十字槽盘头螺钉,"SCREW,M3X25",M3×25(GB/T818-2000)304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221406,零配件,,十字槽盘头螺钉,SCREW M4X6,M4×6  GB/T818-2000  304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221408,零配件,,十字槽盘头螺钉,,M4×8(GB/T818-2000) 304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221410,零配件,,十字槽盘头螺钉,SCREW  M4x10  PH,M4×10（GB/T818-2000）304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221412,零配件,,十字槽盘头螺钉,SCREW M4×12,M4×12(GB/818-2000)dk=φ7.6-8.0 304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221416,零配件,,十字槽盘头螺钉,"Screw,RHM,M4X16,SST",M4×16(GB/T818-2000) 304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221420,零配件,,十字槽盘头螺钉,"Screw, Ph, M4 X20",M4×20(GB818-85) 304不锈钢,,MC12,普通螺钉类,个,原材料仓
1221421,零配件,,十字盘头螺钉,SCREW M4×20,不锈钢，M4X20，GB/T818，半牙，螺纹长度10mm,,MC12,普通螺钉类,个,原材料仓
1221425,零配件,,十字槽盘头螺钉,"Screw,RHM,M4X25,SST",M4×25 GB/T818-2000 304不锈钢,,MC12,普通螺钉类,个,原材料仓
